lhs,op,rhs,est.std,se,z,pvalue,ci.lower,ci.upper
Mindfulness,=~,item1,0.5590109482903513,0.16679068947603903,3.351571661742295,8.035423925130125e-4,0.232107203960711,0.8859146926199915
Mindfulness,=~,item2,0.6839463220436746,0.08321167509661463,8.219355291785252,2.220446049250313e-16,0.5208544357610614,0.8470382083262877
Mindfulness,=~,item3,0.7577670827636938,0.10111295308831848,7.494263193972901,6.661338147750939e-14,0.5595893363401016,0.955944829187286
Mindfulness,=~,item4,0.7041084017549893,0.12462785055880048,5.649687438224613,1.6073983255537883e-8,0.4598423031891004,0.9483745003208783
Mindfulness,=~,item5,0.7146319301257527,0.15513806700076294,4.606425385732299,4.096499561345723e-6,0.41056690617309555,1.0186969540784099
Mindfulness,=~,item6,0.6320801834993826,0.13476145148103671,4.690363427766488,2.7272021203561536e-6,0.3679525920922087,0.8962077749065565
Mindfulness,=~,item7,0.8068283993576956,0.07204453696721913,11.199022622975692,0,0.6656237016190816,0.9480330970963096
Mindfulness,=~,item8,0.7195629243880993,0.08869365873675193,8.112901583232743,4.440892098500626e-16,0.5457265476069793,0.8933993011692194
Mindfulness,=~,item9,0.6970759583148288,0.12216063324444376,5.7062241722337665,1.1550984835295708e-8,0.4576455168271127,0.9365063998025449
Mindfulness,=~,item10,0.766323186305197,0.13709049719627345,5.589907411365258,2.2719071957055803e-8,0.49763074917781186,1.0350156234325822
Mindfulness,=~,item11,0.43200094058591854,0.18009249734157867,2.398772558340112,0.016450128849543777,0.07902613191054897,0.7849757492612881
Mindfulness,=~,item12,0.7127540622513868,0.09812583270545513,7.263674025481799,3.7680969455777813e-13,0.5204309641956922,0.9050771603070814
Mindfulness,=~,item13,0.556983226531125,0.17077025822622893,3.261593864859407,0.0011078774672701464,0.22227967077711147,0.8916867822851384
Mindfulness,=~,item14,-0.07283784910189421,0.2069436347565377,-0.35196950699926344,0.7248611309469966,-0.4784399200545194,0.33276422185073096
Mindfulness,=~,item15,-0.19748830309052307,0.23595293062315534,-0.8369817766999266,0.4026028114302709,-0.6599475491585854,0.2649709429775393
item1,~~,item1,0.6875067596915222,0.1864756382941801,3.686844919693616,2.2705162699820924e-4,0.3220212246408112,1.0529922947422332
item2,~~,item2,0.5322174285629304,0.11382464017167655,4.675766404885717,2.9285781819599066e-6,0.3091252332732134,0.7553096238526474
item3,~~,item3,0.42578904827980124,0.15324013265888514,2.7785739994601424,0.005459807576797315,0.1254439072822463,0.7261341892773562
item4,~~,item4,0.5042313585780344,0.17550303070032533,2.8730635395067265,0.004065123484464861,0.16025173922776936,0.8482109779282994
item5,~~,item5,0.4893012044447414,0.22173323001117243,2.2067112106745888,0.027334241527035008,0.05471205944710772,0.9238903494423751
item6,~~,item6,0.6004746416273867,0.17036008651454465,3.524737829809218,4.2390210014620067e-4,0.26657500765575154,0.9343742755990219
item7,~~,item7,0.34902793398989884,0.11625515907392601,3.0022575924390065,0.002679853076236194,0.12117200918802903,0.5768838587917686
item8,~~,item8,0.48222919784604645,0.12764133737096134,3.778001764777455,1.5809175902514738e-4,0.2320567736604358,0.7324016220316572
item9,~~,item9,0.5140851083394629,0.1703104814140466,3.018517146279777,0.002540150271421071,0.18028269857825335,0.8478875181006724
item10,~~,item10,0.4127487741310502,0.21011124829878364,1.9644296889051402,0.04948028268638627,9.382947186816759e-4,0.8245592535434187
item11,~~,item11,0.8133751873328817,0.15560025731781318,5.227338317773889,1.7196766299854005e-7,0.5084042870048029,1.1183460876609606
item12,~~,item12,0.49198164674414624,0.13987917238349562,3.517190146044897,4.361412278299781e-4,0.21782350668522515,0.7661397868030673
item13,~~,item13,0.6897696853629774,0.1902323406409748,3.625932809525688,2.879202175116724e-4,0.3169211490119117,1.0626182217140432
item14,~~,item14,0.9946946477382097,0.0301466552904079,32.995190947590885,0,0.9356082891146663,1.053781006361753
item15,~~,item15,0.9609983701424257,0.0931958854849316,10.311596538216325,0,0.7783377910846406,1.1436589492002107
Mindfulness,~~,Mindfulness,1.0000000000000002,0,NA,NA,1.0000000000000002,1.0000000000000002
